#,version,5
12/06/2014 20:27,73457,10.085,true,false,0.00,
12/12/2014 07:13,73739,12.650,true,false,31.38,,22.29
12/13/2014 10:11,73970,9.981,true,false,22.95,,23.14
12/17/2014 19:39,74221,11.604,true,false,25.52,,21.63
12/29/2014 09:53,74614,17.589,true,false,34.81,,22.34
01/10/2015 06:35,74904,14.056,true,false,25.29,,20.63
01/10/2015 16:10,75137,9.521,true,false,18.65,,24.47
01/11/2015 20:26,75461,12.096,true,false,22.49,,26.79
01/23/2015 09:56,75787,16.239,true,false,28.56,,20.08
02/01/2015 10:31,76079,15.042,true,false,27.66,,19.41
02/09/2015 20:06,76446,16.750,true,false,31.47,,21.91
02/20/2015 21:19,76820,18.300,true,false,40.24,,20.44
03/05/2015 09:59,77089,13.856,true,false,34.63,,19.41
03/13/2015 16:51,77431,16.968,true,false,39.01,,20.16
03/24/2015 12:42,77847,18.210,true,false,42.60,,22.84
03/29/2015 14:37,78229,17.657,true,false,42.36,,21.63
04/03/2015 07:22,78639,18.434,true,false,40.54,,22.24
04/17/2015 20:04,78996,18.266,true,false,40.17,,19.54
04/24/2015 19:59,79279,13.223,true,false,31.72,,21.40
05/06/2015 18:15,79644,18.158,true,false,48.28,,20.10
05/18/2015 11:28,79973,15.445,true,false,43.54,,21.30
05/22/2015 12:17,80304,15.053,true,false,34.00,,21.99
05/24/2015 16:13,80585,10.117,true,false,25.88,,27.78
05/27/2015 18:26,80958,15.929,true,false,44.59,,23.42
06/04/2015 19:29,81339,17.406,true,false,48.72,,21.89
06/13/2015 07:30,81743,18.514,true,false,49.60,,21.82
06/19/2015 19:58,82029,13.640,true,false,36.81,,20.97
06/27/2015 04:43,82194,9.403,true,false,24.63,,17.55
07/03/2015 06:42,82484,13.737,true,false,36.53,,21.11
07/05/2015 05:48,82926,18.381,true,false,47.59,,24.05
07/15/2015 12:35,83275,14.572,true,false,39.33,,23.95
07/24/2015 17:24,83598,15.721,true,false,44.95,,20.55
08/04/2015 11:45,83914,14.507,true,false,34.51,,21.78
08/05/2015 09:41,84290,16.285,true,false,40.37,,23.09
08/05/2015 14:55,84640,15.509,true,false,46.51,,22.57
08/06/2015 08:02,84873,10.808,true,false,25.50,,21.56
08/06/2015 13:12,85144,10.277,true,false,23.22,,26.37
08/07/2015 08:40,85441,12.216,true,false,27.35,,24.31
08/07/2015 14:30,85730,11.067,true,false,25.44,,26.11
08/07/2015 18:25,85977,10.090,true,false,24.81,,24.48
08/10/2015 15:56,86271,14.375,true,false,34.49,,20.45
08/15/2015 10:17,86509,13.757,true,false,29.70,,17.30
08/21/2015 03:31,86789,14.847,true,false,33.09,,18.86
08/25/2015 19:43,87158,16.911,true,false,37.69,,21.82
08/31/2015 19:21,87436,14.883,true,false,32.73,,18.68
09/06/2015 13:56,87761,13.965,true,false,30.71,,23.27
09/13/2015 02:21,88027,13.712,true,false,28.78,,19.40
09/18/2015 18:26,88283,11.680,true,false,23.35,,21.92
09/26/2015 08:08,88688,18.680,true,false,36.59,,21.68
10/03/2015 07:29,88990,14.668,true,false,28.59,,20.59
10/08/2015 17:35,89349,16.510,true,false,35.65,,21.74
